date,nominal_effective_exchange_rate,effective_federal_funds_rate,cpi_index,djia_adj_close,gold_price,target
1989-04-01,116.8608695652174,9.85,121.5,2293.6201170000004,390.2,384.4
1989-05-01,117.15850000000003,9.84,121.6,2418.800049,384.4,371.1
1989-06-01,119.87478260869565,9.81,122.1,2480.149902,371.1,367.6
1989-07-01,122.5459090909091,9.53,122.9,2440.060059,367.6,375.0
1989-08-01,119.66666666666667,9.24,123.9,2660.659912,375.0,365.1
1989-09-01,120.14434782608696,8.99,124.2,2737.27002,365.1,361.8
1989-10-01,121.74333333333331,9.02,124.3,2692.820068,361.8,366.9
1989-11-01,119.53818181818183,8.84,124.4,2645.080078,366.9,394.3
1989-12-01,119.425,8.55,124.5,2706.27002,394.3,409.4
1990-01-01,117.70285714285713,8.45,124.9,2753.199951,409.4,410.1
1990-02-01,116.97565217391306,8.23,125.9,2590.540039,410.1,416.8
1990-03-01,117.10149999999999,8.24,126.1,2627.25,416.8,393.1
1990-04-01,119.30227272727271,8.28,126.8,2707.209961,393.1,374.2
1990-05-01,119.50952380952378,8.26,126.8,2656.76001,374.2,369.1
1990-06-01,118.22260869565217,8.18,127.1,2876.659912,369.1,352.3
1990-07-01,118.40095238095239,8.29,128.3,2880.689941,352.3,362.5
1990-08-01,115.575,8.15,129.2,2905.199951,362.5,394.7
1990-09-01,113.15217391304348,8.13,130.2,2614.360107,394.7,389.3
1990-10-01,111.7325,8.2,130.5,2452.47998,389.3,380.7
1990-11-01,108.75565217391305,8.11,130.6,2442.330078,380.7,381.7
1990-12-01,107.98681818181818,7.81,130.4,2559.649902,381.7,377.0
1991-01-01,109.52523809523807,7.31,130.5,2633.659912,377.0,383.6
1991-02-01,109.5130434782609,6.91,131.8,2736.389893,383.6,363.8
1991-03-01,108.05550000000001,6.25,132.4,2882.179932,363.8,363.3
1991-04-01,112.81952380952379,6.12,132.6,2913.860107,363.3,358.4
1991-05-01,114.75772727272728,5.91,132.5,2887.8701170000004,358.4,357.0
1991-06-01,115.21173913043476,5.78,132.8,3027.5,357.0,366.7
1991-07-01,117.21400000000001,5.9,133.4,2906.75,366.7,367.7
1991-08-01,116.93782608695653,5.82,134.2,3024.820068,367.7,356.3
1991-09-01,115.57272727272726,5.66,134.5,3043.600098,356.3,348.7
1991-10-01,113.82333333333334,5.45,134.7,3016.77002,348.7,358.7
1991-11-01,112.73391304347827,5.21,134.7,3069.100098,358.7,360.2
1991-12-01,111.0204761904762,4.81,134.7,2894.679932,360.2,361.7
1992-01-01,109.65590909090908,4.43,135.0,3168.830078,361.7,354.5
1992-02-01,109.40521739130438,4.03,135.7,3223.399902,354.5,353.9
1992-03-01,111.4695,4.06,136.1,3267.699951,353.9,344.3
1992-04-01,114.06454545454548,3.98,136.6,3235.5,344.3,338.6
